hwm_id,lon,lat,x_utm10,y_utm10,cell,elev_ft,elev_m,cell_z_m,above_bed_m,is_above_bed,vdatum_id,vdatum,hwm_quality_id,hwm_quality,hwm_environment,survey_date,waterbody
32958,-95.3752858,29.7614102,3222768.5,3635158.4,2861942,8.7,2.652,13.17,-10.518,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32960,-95.3752858,29.7614102,3222768.5,3635158.4,2861942,7.78,2.371,13.17,-10.799,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32967,-95.3610547,29.7650368,3224113.2,3635962.0,2886912,5.6,1.707,8.97,-7.263,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32948,-95.3752858,29.7614102,3222768.5,3635158.4,2861942,14.62,4.456,13.17,-8.714,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32950,-95.3752858,29.7614102,3222768.5,3635158.4,2861942,13.2,4.023,13.17,-9.147,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32952,-95.3752858,29.7614102,3222768.5,3635158.4,2861942,11.7,3.566,13.17,-9.604,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32957,-95.3752858,29.7614102,3222768.5,3635158.4,2861942,9.7,2.957,13.17,-10.213,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32954,-95.3752858,29.7614102,3222768.5,3635158.4,2861942,10.62,3.237,13.17,-9.933,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32962,-95.3610547,29.7650368,3224113.2,3635962.0,2886912,8.57,2.612,8.97,-6.358,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32963,-95.3610547,29.7650368,3224113.2,3635962.0,2886912,7.54,2.298,8.97,-6.672,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32965,-95.3610547,29.7650368,3224113.2,3635962.0,2886912,6.7,2.042,8.97,-6.928,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32975,-95.3610547,29.7650368,3224113.2,3635962.0,2886912,3.54,1.079,8.97,-7.891,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32985,-95.35788,29.76357,3224482.5,3635874.6,2888094,3.8,1.158,11.30,-10.142,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32976,-95.35788,29.76357,3224482.5,3635874.6,2888094,7.83,2.387,11.30,-8.913,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32977,-95.35788,29.76357,3224482.5,3635874.6,2888094,6.88,2.097,11.30,-9.203,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32979,-95.35788,29.76357,3224482.5,3635874.6,2888094,5.9,1.798,11.30,-9.502,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32981,-95.35788,29.76357,3224482.5,3635874.6,2888094,4.9,1.494,11.30,-9.806,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32972,-95.3610547,29.7650368,3224113.2,3635962.0,2886912,4.46,1.359,8.97,-7.611,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32968,-95.3610547,29.7650368,3224113.2,3635962.0,2886912,4.71,1.436,8.97,-7.534,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
